OID_,Value,DepoZone,EUcropClas,SlopeClass,DepoZones,CropShort,SlopeTxt,lucode,Ndeposition,NUE,PUE,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
155,156,4,6,1,3.001-4 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,156,3.571539402,0.6,0.65,1.428615761,0.473162204,200,0.165948346,0,0.473162204,200
156,157,4,6,2,3.001-4 kg ha,Improved Grasslands,<= mean = 2.531- 5.06 degrees,157,3.621937752,0.59,0.62,1.484994478,0.523243725,200,0.036279699,0,0.523243725,200
157,158,4,6,3,3.001-4 kg ha,Improved Grasslands,<= mean + 1 STD = 5.061-12.225 degrees,158,3.632995367,0.63,0.63,1.344208286,0.619424105,200,0.08118353,0,0.619424105,200
158,159,3,6,5,2.001-3 kg ha,Improved Grasslands,> mean + 3STD = 26.558-89.281 degrees,159,2.551877022,0.11,0.53,2.27117055,0.489266962,200,0.977262229,0,0.489266962,200
159,160,5,6,1,6.001-6 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,160,4.588577747,0.66,0.77,1.560116434,0.419133455,200,0.288499117,0,0.419133455,200
160,161,4,6,4,3.001-4 kg ha,Improved Grasslands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,161,3.625437021,0.65,0.66,1.268902957,0.599231064,200,0.122059498,0,0.599231064,200
161,162,4,6,5,3.001-4 kg ha,Improved Grasslands,> mean + 3STD = 26.558-89.281 degrees,162,3.528925061,0.6,0.64,1.411570024,0.257162452,200,0.021662399,0,0.257162452,200
162,163,5,6,2,6.001-6 kg ha,Improved Grasslands,<= mean = 2.531- 5.06 degrees,163,4.616386414,0.68,0.69,1.477243652,0.627805352,200,0.18199195,0,0.627805352,200
163,164,5,6,3,6.001-6 kg ha,Improved Grasslands,<= mean + 1 STD = 5.061-12.225 degrees,164,4.666824818,0.69,0.75,1.446715694,0.808447242,200,0.216176987,0,0.808447242,200
164,165,5,6,4,6.001-6 kg ha,Improved Grasslands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,165,4.675221443,0.67,0.75,1.542823076,0.853797436,200,0.132987946,0,0.853797436,200
165,166,5,6,5,6.001-6 kg ha,Improved Grasslands,> mean + 3STD = 26.558-89.281 degrees,166,4.563037634,0.62,0.63,1.733954301,0.518934131,200,0.038123727,0,0.518934131,200
166,167,6,4,1,5.001-6 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,167,5.586058617,0.61,0.71,2.178562861,0.063202038,200,0.75933522,0,0.063202038,200
167,168,6,4,2,5.001-6 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,168,5.59774971,0.6,0.67,2.239099884,0.07891497,200,0.633176625,0,0.07891497,200
168,169,6,3,2,5.001-6 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,169,5.594857693,0.62,0.69,2.126045923,0.01433531,200,0.051709294,0,0.01433531,200
169,170,6,3,1,5.001-6 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,170,5.578184128,0.63,0.7,2.063928127,0.003563991,200,0.184227511,0,0.003563991,200
170,171,6,3,3,5.001-6 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,171,5.565665245,0.62,0.69,2.114952793,0.049822178,200,0.009453945,0,0.049822178,200
171,172,6,4,4,5.001-6 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,172,5.515118599,0.54,0.62,2.536954556,0.248490989,200,0.633556217,0,0.248490989,200
172,173,6,4,3,5.001-6 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,173,5.56078434,0.57,0.64,2.391137266,0.117607139,200,0.641388118,0,0.117607139,200
173,174,6,3,4,5.001-6 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,174,5.509526253,0.59,0.67,2.258905764,0.22431016,200,0.005695241,0,0.22431016,200
